fid,referencia,codigo_mun,plano_cata,codigo,inquilinos,deuda_total,UC_inquilinosField7,tipo_familiaField5,ingresos_mean,deuda_mean,tipo_familia_meanmean,count,300m,ingresos_meses,ZVeco,familia,Ifam,ISuivi,ZVvul,OBJECTID,id_padron,TIPO,NOMBRE,ID_T,Eco_mean,suivi_mean,vul_mean,IndiceEco_quar,IndiceFam_quar,IndiceGen_quar,nombre_quartier
853,"82287","78281282",XM7182G,40-01292,5766.88,0,ALQUILER GENERAL,"3",5766.88,0,3,1,1,480.573333333333,2,2,4,3,5,6,8,Distrito Municipal,Las Fuentes,VI,2.24,1.38,3.62,1.73333333333333,2.23888888888889,3.97222222222222,72
856,"84316","78471314",XM7183A,40-01314,5572.8,93,ALQUILER GENERAL,"1",5572.8,93,1,1,1,464.4,2.4,0.4,2.8,1.4,3.8,6,8,Distrito Municipal,Las Fuentes,VI,2.24,1.38,3.62,1.73333333333333,2.23888888888889,3.97222222222222,72
857,"77251","77711252",XM7172F,40-01299,2,1758,ALQUILER GENERAL,"3",2,1758,3,1,1,0.166666666666667,3.6,2,5.6,3,6.6,6,8,Distrito Municipal,Las Fuentes,VI,2.24,1.38,3.62,1.73333333333333,2.23888888888889,3.97222222222222,72
859,"77278","77741272",XM7172F,40-01297,13453.44,0,ALQUILER GENERAL,"2",13453.44,0,2,1,1,1121.12,1.2,1.2,2.4,2.2,3.4,6,8,Distrito Municipal,Las Fuentes,VI,2.24,1.38,3.62,1.73333333333333,2.23888888888889,3.97222222222222,72
869,"76264","77641259",XM7172F,40-01281,7635.9,4427,ALQUILER GENERAL,"3",7635.9,4427,3,1,1,636.325,3.6,2,5.6,3,6.6,6,8,Distrito Municipal,Las Fuentes,VI,2.24,1.38,3.62,1.73333333333333,2.23888888888889,3.97222222222222,72
870,"79271","77901270",XM7172F,40-01289,10798.08,197,ALQUILER GENERAL,"2",10798.08,197,2,1,1,899.84,2,1.2,3.2,2.2,4.2,6,8,Distrito Municipal,Las Fuentes,VI,2.24,1.38,3.62,1.73333333333333,2.23888888888889,3.97222222222222,72
872,"80273","78001277",XM7182G,40-01290,13723.92,0,ALQUILER GENERAL,"2",13723.92,0,2,1,1,1143.66,1.2,1.2,2.4,2.2,3.4,6,8,Distrito Municipal,Las Fuentes,VI,2.24,1.38,3.62,1.73333333333333,2.23888888888889,3.97222222222222,72
885,"82276","78261276",XM7182G,40-01298,18770.6,2397,ALQUILER GENERAL,"2",18770.6,2397,2,1,1,1564.21666666667,2.8,1.2,4,2.2,5,6,8,Distrito Municipal,Las Fuentes,VI,2.24,1.38,3.62,1.73333333333333,2.23888888888889,3.97222222222222,72
960,"81226","78181226",XM7182C,40-04062,15786.4,325,ALQUILER GENERAL,"2",14546.2341176471,262.686274509804,1.86274509803922,51,1,1212.18617647059,1.6,1.2,2.8,2.2,3.8,6,8,Distrito Municipal,Las Fuentes,VI,2.24,1.38,3.62,1.73333333333333,2.23888888888889,3.97222222222222,72
967,"82261","78221261",XM7182E,40-01282,12756.92,0,ALQUILER GENERAL,"2",12756.92,0,2,1,1,1063.07666666667,1.2,1.2,2.4,2.2,3.4,6,8,Distrito Municipal,Las Fuentes,VI,2.24,1.38,3.62,1.73333333333333,2.23888888888889,3.97222222222222,72
971,"84271","78411272",XM7182E,40-01245,13295.4,0,ALQUILER GENERAL,"2",8992.92,0,2,2,1,749.41,1.6,1.2,2.8,2.2,3.8,6,8,Distrito Municipal,Las Fuentes,VI,2.24,1.38,3.62,1.73333333333333,2.23888888888889,3.97222222222222,72
975,"74229","77441225",XM7172C,40-01280,5760,85,ALQUILER GENERAL,"2",5760,85,2,1,1,480,2.4,1.2,3.6,2.2,4.6,5,7,Distrito Municipal,San José,V,2.24,1.38,3.62,2.04444444444444,2.2,4.24444444444444,9
976,"72237","77291230",XM7172C,40-01288,7905.8,282,ALQUILER GENERAL,"2",7905.8,282,2,1,1,658.816666666667,2,1.2,3.2,2.2,4.2,5,7,Distrito Municipal,San José,V,2.24,1.38,3.62,2.04444444444444,2.2,4.24444444444444,9
980,"77211","77661207",XM7172B,40-02659,18807.46,0,ALQUILER GENERAL,"1",18807.46,0,1,1,1,1567.28833333333,0.8,0.4,1.2,1.4,2.2,5,7,Distrito Municipal,San José,V,2.24,1.38,3.62,2.04444444444444,2.2,4.24444444444444,9
993,"75204","77551207",XM7172B,40-02658,12326.16,843,ALQUILER GENERAL,"2",12326.16,843,2,1,1,1027.18,2.8,1.2,4,2.2,5,5,7,Distrito Municipal,San José,V,2.24,1.38,3.62,2.04444444444444,2.2,4.24444444444444,9
998,"71261","77131261",XM7172E,40-01273,15905.26,0,ALQUILER GENERAL,"1",15905.26,0,1,1,1,1325.43833333333,1.2,0.4,1.6,1.4,2.6,5,7,Distrito Municipal,San José,V,2.24,1.38,3.62,2.04444444444444,2.2,4.24444444444444,9
1032,"50356","75071353",XM7153E,40-00213,24329.6,0,ALQUILER GENERAL,"3",24329.6,0,3,1,1,2027.46666666667,0.4,2,2.4,3,3.4,3,3,Distrito Municipal,Delicias,III,2.24,1.38,3.62,1.6,3,4.6,2
1110,"36285","73651285",XM7132H,40-01845,17399.04,1927,ALQUILER GENERAL,"3",17399.04,1927,3,1,1,1449.92,2.8,2,4.8,3,5.8,3,3,Distrito Municipal,Delicias,III,2.24,1.38,3.62,1.6,3,4.6,2
1116,"73188","77361181",XM7171G,40-01742,10457.04,3036,ALQUILER GENERAL,"3",10457.04,3036,3,1,1,871.42,3.6,2,5.6,3,6.6,5,7,Distrito Municipal,San José,V,2.24,1.38,3.62,2.04444444444444,2.2,4.24444444444444,9
1174,"58124","75851129",XM7151D,40-01287,12923.4,0,ALQUILER GENERAL,"2",12923.4,0,2,1,1,1076.95,1.2,1.2,2.4,2.2,3.4,9,12,Distrito Municipal,Torrero - La Paz,IX,2.24,1.38,3.62,1.92592592592593,1.8,3.72592592592593,27
1188,"56046","75691046",XM7150D,40-02276,14553.3,1641,ALQUILER GENERAL,"2",12163.4264,82.76,1.48,25,1,1013.61886666667,2,0.8,2.8,1.8,3.8,9,12,Distrito Municipal,Torrero - La Paz,IX,2.24,1.38,3.62,1.92592592592593,1.8,3.72592592592593,27
1293,"68163","76801166",XM7161F,40-01291,9687.56,0,ALQUILER GENERAL,"2",9687.56,0,2,1,1,807.296666666667,1.6,1.2,2.8,2.2,3.8,5,7,Distrito Municipal,San José,V,2.24,1.38,3.62,2.04444444444444,2.2,4.24444444444444,9
1299,"69187","76971181",XM7161H,40-01321,13442.1,0,ALQUILER GENERAL,"2",13442.1,0,2,1,1,1120.175,1.2,1.2,2.4,2.2,3.4,5,7,Distrito Municipal,San José,V,2.24,1.38,3.62,2.04444444444444,2.2,4.24444444444444,9
1332,"71054","77141059",XM7170E,40-00521,18118.98,0,ALQUILER GENERAL,"1",18118.98,0,1,1,1,1509.915,0.8,0.4,1.2,1.4,2.2,9,12,Distrito Municipal,Torrero - La Paz,IX,2.24,1.38,3.62,1.92592592592593,1.8,3.72592592592593,27
1338,"71143","77111149",XM7171C,40-02668,19257.12,2410,ALQUILER GENERAL,"3",19257.12,2410,3,1,1,1604.76,2.8,2,4.8,3,5.8,5,7,Distrito Municipal,San José,V,2.24,1.38,3.62,2.04444444444444,2.2,4.24444444444444,9
1346,"23344","72331318",XM7123C,40-01903,17383.66,0,ALQUILER GENERAL,"2",11263.1477419355,169.483870967742,2.03225806451613,31,0,938.59564516129,2,1.6,3.6,1.6,3.6,8,11,Distrito Municipal,Oliver - Valdefierro,VIII,2.24,1.38,3.62,2.10769230769231,1.54807692307692,3.65576923076923,104
1574,"68753","76801758",XM7167F,40-02007,34260.84,0,ALQUILER GENERAL,"1",19117.9220382166,1160.49044585987,1.56050955414013,157,0,1593.16016985138,2.4,1.2,3.6,1.2,3.6,11,14,Distrito Municipal,Actur - Rey Fernando,XI,2.24,1.38,3.62,2.51794071762871,1.23681747269891,3.75475819032761,641
1606,"15396","71471405",XM7114A,40-01363,15223.32,0,ALQUILER GENERAL,"4",18121.182173913,269.869565217391,2.95652173913043,46,1,1510.09851449275,1.2,2,3.2,3,4.2,14,10,Distrito Municipal,Miralbueno,XIV,2.24,1.38,3.62,1.2,3,4.2,46
1667,"31354","73151357",XM7133E,40-01517,8850,7250,ALQUILER GENERAL,"2",8850,7250,2,1,1,737.5,3.6,1.2,4.8,2.2,5.8,8,11,Distrito Municipal,Oliver - Valdefierro,VIII,2.24,1.38,3.62,2.10769230769231,1.54807692307692,3.65576923076923,104
1673,"22368","72261363",XM7123E,40-02223,16636.62,352,ALQUILER GENERAL,"1",14826.8390909091,970.863636363636,1.72727272727273,22,1,1235.56992424242,2.4,1.2,3.6,2.2,4.6,8,11,Distrito Municipal,Oliver - Valdefierro,VIII,2.24,1.38,3.62,2.10769230769231,1.54807692307692,3.65576923076923,104
1705,"25348","72541341",XM7123D,40-01519,3000,473,ALQUILER GENERAL,"3",3000,473,3,1,0,250,2.8,2,4.8,2,4.8,8,11,Distrito Municipal,Oliver - Valdefierro,VIII,2.24,1.38,3.62,2.10769230769231,1.54807692307692,3.65576923076923,104
1843,"52624","75251628",XM7156C,40-00737,18398.28,0,ALQUILER GENERAL,"1",16451.1405333333,1502.14666666667,1.30666666666667,75,0,1370.92837777778,2.8,0.8,3.6,0.8,3.6,11,14,Distrito Municipal,Actur - Rey Fernando,XI,2.24,1.38,3.62,2.51794071762871,1.23681747269891,3.75475819032761,641
1881,"52639","75261634",XM7156C,40-00725,19525.8,4848,ALQUILER GENERAL,"1",15496.9002631579,1616.07894736842,1.34210526315789,76,0,1291.40835526316,2.8,0.8,3.6,0.8,3.6,11,14,Distrito Municipal,Actur - Rey Fernando,XI,2.24,1.38,3.62,2.51794071762871,1.23681747269891,3.75475819032761,641
1952,"52645","75291647",XM7156C,40-02671,17119.8,3866,ALQUILER GENERAL,"1",13981.68,1933,2,2,0,1165.14,2.8,1.2,4,1.2,4,11,14,Distrito Municipal,Actur - Rey Fernando,XI,2.24,1.38,3.62,2.51794071762871,1.23681747269891,3.75475819032761,641
2124,"53589","75341564",XM7155E,40-00397,6159.96,0,ALQUILER GENERAL,"2",14599.2387854251,936.655870445344,1.55465587044534,247,0,1216.60323211876,2.4,1.2,3.6,1.2,3.6,11,14,Distrito Municipal,Actur - Rey Fernando,XI,2.24,1.38,3.62,2.51794071762871,1.23681747269891,3.75475819032761,641
2267,"70442","77011443",XM7174C,40-00575,12241.6,0,ALQUILER GENERAL,"1",9441.81333333333,435.428571428571,1.66666666666667,21,1,786.817777777778,2.4,1.2,3.6,2.2,4.6,10,15,Distrito Municipal,El Rabal,X,2.24,1.38,3.62,2.41176470588235,2.16470588235294,4.57647058823529,34
2292,"69435","76981438",XM7164D,40-00791,20390.04,0,ALQUILER GENERAL,"1",13339.8466666667,28.3333333333333,1.33333333333333,3,1,1111.65388888889,1.6,0.8,2.4,1.8,3.4,10,15,Distrito Municipal,El Rabal,X,2.24,1.38,3.62,2.41176470588235,2.16470588235294,4.57647058823529,34
2309,"73419","77351416",XM7174A,40-01311,12907.2,0,ALQUILER GENERAL,"2",12907.2,0,2,1,1,1075.6,1.2,1.2,2.4,2.2,3.4,10,15,Distrito Municipal,El Rabal,X,2.24,1.38,3.62,2.41176470588235,2.16470588235294,4.57647058823529,34
2310,"74424","77461429",XM7174C,40-02346,22274.76,321,ALQUILER GENERAL,"1",22274.76,321,1,1,1,1856.23,1.6,0.4,2,1.4,3,10,15,Distrito Municipal,El Rabal,X,2.24,1.38,3.62,2.41176470588235,2.16470588235294,4.57647058823529,34
2357,"76423","77691421",XM7174D,40-01322,12010.12,14,ALQUILER GENERAL,"2",12010.12,14,2,1,1,1000.84333333333,2,1.2,3.2,2.2,4.2,10,15,Distrito Municipal,El Rabal,X,2.24,1.38,3.62,2.41176470588235,2.16470588235294,4.57647058823529,34
2360,"04541","80381540",XM8105C,40-00224,12073.6,0,ALQUILER GENERAL,"2",12073.6,0,2,1,1,1006.13333333333,1.6,1.2,2.8,2.2,3.8,13,22,Distrito Municipal,Santa Isabel,XIII,2.24,1.38,3.62,1.6,2.2,3.8,1
2402,"72675","77281681",XM7176G,40-01492,12241.6,200,ALQUILER GENERAL,"3",15187.8179166667,735.3125,1.91666666666667,48,1,1265.65149305556,2.4,1.2,3.6,2.2,4.6,11,14,Distrito Municipal,Actur - Rey Fernando,XI,2.24,1.38,3.62,2.51794071762871,1.23681747269891,3.75475819032761,641
2466,"72736","77271734",XM7177C,40-01522,20301.37,0,ALQUILER GENERAL,"1",15910.6319444444,1504.97222222222,1.75,36,1,1325.88599537037,2.8,1.2,4,2.2,5,11,14,Distrito Municipal,Actur - Rey Fernando,XI,2.24,1.38,3.62,2.51794071762871,1.23681747269891,3.75475819032761,641
2514,"72618","77241611",XM7176A,40-01574,16171.8,8716,ALQUILER GENERAL,"3",16171.8,8716,3,1,1,1347.65,3.2,2,5.2,3,6.2,10,15,Distrito Municipal,El Rabal,X,2.24,1.38,3.62,2.41176470588235,2.16470588235294,4.57647058823529,34
2515,"72608","77271605",XM7176A,40-01662,8391.6,4116,ALQUILER GENERAL,"3",8391.6,4116,3,1,1,699.3,3.6,2,5.6,3,6.6,10,15,Distrito Municipal,El Rabal,X,2.24,1.38,3.62,2.41176470588235,2.16470588235294,4.57647058823529,34
2521,"71583","77121588",XM7175G,40-02354,12326.16,192,ALQUILER GENERAL,"3",12326.16,192,3,1,1,1027.18,2,2,4,3,5,10,15,Distrito Municipal,El Rabal,X,2.24,1.38,3.62,2.41176470588235,2.16470588235294,4.57647058823529,34
2522,"71531","77101530",XM7175C,40-01673,11090.76,925,ALQUILER GENERAL,"1",11090.76,925,1,1,1,924.23,2.8,0.4,3.2,1.4,4.2,10,15,Distrito Municipal,El Rabal,X,2.24,1.38,3.62,2.41176470588235,2.16470588235294,4.57647058823529,34
2524,"70597","77081592",XM7175G,40-01359,6506.64,1800,ALQUILER GENERAL,"2",9964.8,1027.5,2,2,1,830.4,3.2,1.2,4.4,2.2,5.4,10,15,Distrito Municipal,El Rabal,X,2.24,1.38,3.62,2.41176470588235,2.16470588235294,4.57647058823529,34
2528,"67588","76741581",XM7165H,40-02664,6637.92,2302,ALQUILER GENERAL,"1",6637.92,2302,1,1,1,553.16,4,0.4,4.4,1.4,5.4,10,15,Distrito Municipal,El Rabal,X,2.24,1.38,3.62,2.41176470588235,2.16470588235294,4.57647058823529,34
2531,"54447","75481440",XM7154C,40-01513,10704.12,211,ALQUILER GENERAL,"2",10704.12,211,2,1,1,892.01,2,1.2,3.2,2.2,4.2,7,4,Distrito Municipal,La Almozara,VII,2.24,1.38,3.62,2,2.2,4.2,1
2548,"25358","72431330",XM7123F,40-00295,13569.08,1837,ALQUILER GENERAL,"2",14561.3246938776,538.857142857143,1.95918367346939,49,0,1213.4437244898,2,1.2,3.2,1.2,3.2,8,11,Distrito Municipal,Oliver - Valdefierro,VIII,2.24,1.38,3.62,2.10769230769231,1.54807692307692,3.65576923076923,104
